hour,day_of_week,month,is_weekend,beds_total,beds_occupied,beds_available,icu_total,icu_occupied,icu_available,staff_count,shift,er_arrivals,equipment_in_use,seasonal_factor,patients_next_hour,beds_needed_24h,staff_needed_24h
10,4,1,0,110,90,20,20,12,8,33,0,13,24,1.15,14,91,38
11,4,1,0,110,80,30,20,13,7,33,0,12,22,1.15,13,86,33
12,4,1,0,110,79,31,20,15,5,36,0,8,24,1.15,10,79,29
13,4,1,0,110,81,29,20,12,8,40,0,4,18,1.15,7,85,21
14,4,1,0,110,69,41,20,14,6,37,0,5,20,1.15,6,75,18
15,4,1,0,110,75,35,20,13,7,21,1,0,17,1.15,1,76,20
16,4,1,0,110,67,43,20,10,10,25,1,9,19,1.15,13,69,19
17,4,1,0,110,82,28,20,14,6,25,1,11,21,1.15,13,84,30
18,4,1,0,110,85,25,20,12,8,25,1,6,20,1.15,6,91,30
19,4,1,0,110,75,35,20,15,5,27,1,4,21,1.15,4,78,32
20,4,1,0,110,80,30,20,16,4,27,1,7,15,1.15,7,87,23
21,4,1,0,110,67,43,20,14,6,21,1,2,19,1.15,2,67,18
22,4,1,0,110,68,42,20,11,9,25,1,1,16,1.15,5,72,18
23,4,1,0,110,71,39,20,13,7,18,2,0,15,1.15,1,65,21
0,5,1,1,110,77,33,20,10,10,19,2,5,17,1.15,8,81,18
1,5,1,1,110,69,41,20,11,9,18,2,7,15,1.15,9,69,19
2,5,1,1,110,72,38,20,14,6,16,2,4,19,1.15,6,75,21
3,5,1,1,110,77,33,20,13,7,17,2,3,19,1.15,5,85,20
4,5,1,1,110,83,27,20,14,6,18,2,2,17,1.15,4,85,24
5,5,1,1,110,79,31,20,13,7,18,2,5,18,1.15,8,79,24
6,5,1,1,110,70,40,20,15,5,18,2,3,15,1.15,5,73,24
7,5,1,1,110,82,28,20,9,11,35,0,8,18,1.15,10,84,28
8,5,1,1,110,78,32,20,12,8,36,0,8,22,1.15,10,78,38
9,5,1,1,110,95,15,20,13,7,36,0,13,22,1.15,13,96,36
10,5,1,1,110,90,20,20,11,9,34,0,8,23,1.15,9,96,45
11,5,1,1,110,98,12,20,14,6,31,0,16,21,1.15,16,102,40
12,5,1,1,110,89,21,20,14,6,35,0,5,20,1.15,8,95,35
13,5,1,1,110,84,26,20,13,7,39,0,6,18,1.15,8,88,31
14,5,1,1,110,71,39,20,15,5,34,0,7,18,1.15,9,71,25
15,5,1,1,110,71,39,20,15,5,26,1,5,19,1.15,5,82,19
16,5,1,1,110,81,29,20,14,6,26,1,7,18,1.15,9,81,23
17,5,1,1,110,78,32,20,13,7,25,1,6,16,1.15,8,79,32
18,5,1,1,110,81,29,20,13,7,25,1,12,21,1.15,18,86,36
19,5,1,1,110,83,27,20,13,7,23,1,8,19,1.15,11,88,31
20,5,1,1,110,85,25,20,12,8,24,1,2,20,1.15,4,89,29
21,5,1,1,110,77,33,20,14,6,26,1,5,17,1.15,7,77,25
22,5,1,1,110,82,28,20,12,8,21,1,3,19,1.15,5,86,22
23,5,1,1,110,78,32,20,15,5,17,2,4,19,1.15,4,88,18
0,6,1,1,110,70,40,20,12,8,13,2,1,16,1.15,4,76,21
1,6,1,1,110,75,35,20,17,3,17,2,6,18,1.15,7,77,18
2,6,1,1,110,76,34,20,13,7,17,2,6,18,1.15,7,82,26
3,6,1,1,110,80,30,20,12,8,17,2,3,16,1.15,3,85,26
4,6,1,1,110,70,40,20,13,7,18,2,9,23,1.15,9,76,22
5,6,1,1,110,74,36,20,16,4,17,2,3,12,1.15,3,74,23
6,6,1,1,110,67,43,20,14,6,16,2,12,15,1.15,12,69,22
7,6,1,1,110,77,33,20,10,10,33,0,9,17,1.15,10,77,31
8,6,1,1,110,90,20,20,16,4,33,0,9,20,1.15,10,97,32
9,6,1,1,110,95,15,20,17,3,34,0,12,21,1.15,15,102,39
10,6,1,1,110,98,12,20,12,8,31,0,11,19,1.15,13,100,42
11,6,1,1,110,100,10,20,12,8,35,0,14,22,1.15,14,105,42
12,6,1,1,110,90,20,20,17,3,34,0,8,16,1.15,10,95,38
13,6,1,1,110,76,34,20,16,4,35,0,6,20,1.15,6,77,28
14,6,1,1,110,67,43,20,16,4,36,0,7,18,1.15,9,73,26
15,6,1,1,110,79,31,20,14,6,25,1,6,19,1.15,9,81,30
16,6,1,1,110,86,24,20,15,5,25,1,9,19,1.15,12,90,29
17,6,1,1,110,79,31,20,12,8,27,1,7,23,1.15,9,84,35
18,6,1,1,110,83,27,20,15,5,24,1,14,21,1.15,15,84,35
19,6,1,1,110,88,22,20,12,8,28,1,8,19,1.15,10,90,33
20,6,1,1,110,85,25,20,13,7,24,1,10,20,1.15,13,85,32
21,6,1,1,110,76,34,20,15,5,23,1,6,18,1.15,7,76,23
22,6,1,1,110,71,39,20,13,7,24,1,6,16,1.15,8,75,20
23,6,1,1,110,71,39,20,15,5,16,2,5,14,1.15,6,72,24
0,0,1,0,110,71,39,20,14,6,16,2,7,19,1.15,8,77,19
1,0,1,0,110,71,39,20,12,8,17,2,6,17,1.15,7,76,18
2,0,1,0,110,82,28,20,11,9,16,2,7,15,1.15,10,82,20
3,0,1,0,110,65,45,20,15,5,19,2,4,20,1.15,5,70,23
4,0,1,0,110,78,32,20,11,9,18,2,2,18,1.15,3,78,18
5,0,1,0,110,76,34,20,15,5,18,2,6,17,1.15,8,80,19
6,0,1,0,110,78,32,20,14,6,18,2,4,18,1.15,6,85,21
7,0,1,0,110,75,35,20,15,5,36,0,8,17,1.15,9,83,19
8,0,1,0,110,78,32,20,13,7,34,0,2,19,1.15,2,80,27
9,0,1,0,110,87,23,20,13,7,38,0,6,26,1.15,8,95,40
10,0,1,0,110,84,26,20,12,8,33,0,11,25,1.15,12,94,44
11,0,1,0,110,87,23,20,13,7,33,0,3,19,1.15,6,88,39
12,0,1,0,110,70,40,20,11,9,33,0,7,19,1.15,8,77,33
13,0,1,0,110,78,32,20,13,7,33,0,7,17,1.15,7,84,25
14,0,1,0,110,71,39,20,13,7,35,0,4,20,1.15,9,68,23
15,0,1,0,110,68,42,20,15,5,23,1,2,18,1.15,5,73,23
16,0,1,0,110,68,42,20,15,5,24,1,7,17,1.15,7,75,25
17,0,1,0,110,79,31,20,9,11,20,1,8,18,1.15,9,83,35
18,0,1,0,110,92,18,20,13,7,27,1,7,21,1.15,10,94,31
19,0,1,0,110,88,22,20,14,6,27,1,9,21,1.15,11,90,27
20,0,1,0,110,82,28,20,14,6,28,1,3,16,1.15,6,84,27
21,0,1,0,110,70,40,20,15,5,25,1,5,13,1.15,7,70,20
22,0,1,0,110,67,43,20,14,6,24,1,3,18,1.15,5,71,19
23,0,1,0,110,68,42,20,14,6,17,2,5,18,1.15,6,74,21
0,1,1,0,110,68,42,20,12,8,17,2,2,16,1.15,2,69,22
1,1,1,0,110,73,37,20,14,6,21,2,4,15,1.15,9,75,18
2,1,1,0,110,74,36,20,12,8,17,2,3,19,1.15,5,79,24
3,1,1,0,110,68,42,20,15,5,17,2,3,22,1.15,5,73,25
4,1,1,0,110,73,37,20,14,6,18,2,0,15,1.15,1,79,26
5,1,1,0,110,71,39,20,12,8,16,2,3,18,1.15,5,74,22
6,1,1,0,110,70,40,20,12,8,16,2,6,20,1.15,9,82,20
7,1,1,0,110,78,32,20,12,8,35,0,6,18,1.15,8,80,21
8,1,1,0,110,83,27,20,12,8,33,0,5,19,1.15,5,90,33
9,1,1,0,110,83,27,20,14,6,36,0,9,20,1.15,10,87,33
10,1,1,0,110,91,19,20,13,7,35,0,13,24,1.15,13,95,40
11,1,1,0,110,78,32,20,14,6,33,0,11,20,1.15,14,79,36
12,1,1,0,110,76,34,20,15,5,33,0,7,21,1.15,7,81,32
13,1,1,0,110,73,37,20,16,4,33,0,9,18,1.15,11,81,24
14,1,1,0,110,69,41,20,15,5,34,0,3,17,1.15,3,67,18
15,1,1,0,110,70,40,20,15,5,22,1,7,20,1.15,10,71,23
16,1,1,0,110,74,36,20,13,7,26,1,3,23,1.15,7,79,22
17,1,1,0,110,77,33,20,15,5,26,1,7,17,1.15,9,84,30
18,1,1,0,110,81,29,20,13,7,25,1,8,19,1.15,10,90,34
19,1,1,0,110,81,29,20,14,6,26,1,5,18,1.15,8,83,26
20,1,1,0,110,65,45,20,14,6,23,1,1,20,1.15,3,69,25
21,1,1,0,110,70,40,20,14,6,24,1,4,16,1.15,5,74,26
22,1,1,0,110,73,37,20,13,7,23,1,1,14,1.15,2,71,18
23,1,1,0,110,67,43,20,15,5,15,2,8,14,1.15,12,69,18
0,2,1,0,110,75,35,20,13,7,19,2,5,17,1.15,8,78,19
1,2,1,0,110,72,38,20,13,7,20,2,9,21,1.15,11,78,18
2,2,1,0,110,65,45,20,14,6,20,2,3,19,1.15,4,68,18
3,2,1,0,110,64,46,20,15,5,19,2,8,15,1.15,10,64,24
4,2,1,0,110,77,33,20,14,6,18,2,9,17,1.15,11,80,25
5,2,1,0,110,71,39,20,15,5,18,2,4,15,1.15,7,75,18
6,2,1,0,110,78,32,20,14,6,17,2,2,19,1.15,2,81,23
7,2,1,0,110,68,42,20,12,8,38,0,2,20,1.15,5,71,29
8,2,1,0,110,80,30,20,12,8,38,0,10,23,1.15,13,87,26
9,2,1,0,110,87,23,20,11,9,34,0,6,25,1.15,8,93,40
10,2,1,0,110,80,30,20,14,6,35,0,5,24,1.15,6,91,40
11,2,1,0,110,85,25,20,17,3,34,0,10,21,1.15,11,93,44
12,2,1,0,110,85,25,20,13,7,36,0,5,19,1.15,5,88,26
13,2,1,0,110,78,32,20,12,8,33,0,4,21,1.15,12,81,25
14,2,1,0,110,80,30,20,13,7,37,0,12,18,1.15,13,85,23
15,2,1,0,110,71,39,20,14,6,24,1,5,15,1.15,7,74,23
16,2,1,0,110,79,31,20,12,8,25,1,5,18,1.15,12,86,27
17,2,1,0,110,76,34,20,12,8,23,1,9,21,1.15,9,79,31
18,2,1,0,110,78,32,20,12,8,26,1,5,22,1.15,6,82,34
19,2,1,0,110,82,28,20,14,6,23,1,5,21,1.15,9,90,28
20,2,1,0,110,81,29,20,12,8,27,1,7,18,1.15,10,83,24
21,2,1,0,110,76,34,20,13,7,27,1,5,19,1.15,8,76,22
22,2,1,0,110,61,49,20,14,6,21,1,5,15,1.15,5,69,18
23,2,1,0,110,79,31,20,13,7,17,2,1,20,1.15,5,77,18
0,3,1,0,110,72,38,20,15,5,14,2,4,15,1.15,5,75,19
1,3,1,0,110,77,33,20,13,7,17,2,10,16,1.15,13,77,18
2,3,1,0,110,71,39,20,13,7,15,2,6,17,1.15,6,79,21
3,3,1,0,110,76,34,20,12,8,15,2,4,17,1.15,6,79,20
4,3,1,0,110,74,36,20,14,6,18,2,8,16,1.15,9,74,22
5,3,1,0,110,70,40,20,15,5,18,2,3,20,1.15,3,73,18
6,3,1,0,110,61,49,20,12,8,18,2,4,14,1.15,8,66,18
7,3,1,0,110,88,22,20,11,9,32,0,1,17,1.15,3,90,21
8,3,1,0,110,83,27,20,13,7,32,0,5,22,1.15,6,89,27
9,3,1,0,110,83,27,20,14,6,37,0,13,22,1.15,16,86,44
10,3,1,0,110,85,25,20,12,8,32,0,13,22,1.15,14,91,40
11,3,1,0,110,85,25,20,13,7,32,0,7,21,1.15,9,93,34
12,3,1,0,110,80,30,20,12,8,32,0,6,21,1.15,8,88,30
13,3,1,0,110,80,30,20,16,4,35,0,5,19,1.15,8,84,26
14,3,1,0,110,76,34,20,14,6,33,0,9,18,1.15,12,79,21
15,3,1,0,110,74,36,20,15,5,24,1,6,19,1.15,8,79,24
16,3,1,0,110,73,37,20,12,8,25,1,3,20,1.15,6,75,25
17,3,1,0,110,76,34,20,11,9,24,1,13,22,1.15,13,80,27
18,3,1,0,110,83,27,20,12,8,28,1,7,20,1.15,8,91,36
19,3,1,0,110,76,34,20,12,8,27,1,4,22,1.15,5,78,32
20,3,1,0,110,81,29,20,13,7,24,1,3,17,1.15,4,85,25
21,3,1,0,110,74,36,20,13,7,31,1,4,18,1.15,8,76,18
22,3,1,0,110,73,37,20,12,8,23,1,1,16,1.15,3,77,18
23,3,1,0,110,76,34,20,14,6,18,2,8,15,1.15,10,79,18
0,4,1,0,110,63,47,20,17,3,17,2,2,18,1.15,4,72,21
1,4,1,0,110,66,44,20,15,5,16,2,1,18,1.15,4,63,21
2,4,1,0,110,73,37,20,15,5,19,2,2,17,1.15,5,75,25
3,4,1,0,110,70,40,20,14,6,18,2,7,22,1.15,9,75,19
4,4,1,0,110,74,36,20,13,7,18,2,3,18,1.15,3,74,18
5,4,1,0,110,71,39,20,13,7,18,2,7,14,1.15,10,78,19
6,4,1,0,110,69,41,20,14,6,19,2,6,17,1.15,7,73,27
7,4,1,0,110,74,36,20,12,8,37,0,3,14,1.15,5,82,23
8,4,1,0,110,80,30,20,12,8,38,0,8,20,1.15,9,82,29
9,4,1,0,110,87,23,20,13,7,35,0,6,22,1.15,8,89,45
10,4,1,0,110,94,16,20,14,6,36,0,5,19,1.15,8,101,37
11,4,1,0,110,84,26,20,14,6,33,0,7,18,1.15,10,89,33
12,4,1,0,110,83,27,20,13,7,33,0,6,16,1.15,8,87,33
13,4,1,0,110,86,24,20,14,6,35,0,9,17,1.15,11,91,20
14,4,1,0,110,69,41,20,12,8,35,0,3,18,1.15,5,72,20
15,4,1,0,110,73,37,20,11,9,27,1,5,18,1.15,6,75,19
16,4,1,0,110,80,30,20,14,6,22,1,8,18,1.15,10,85,26
17,4,1,0,110,84,26,20,11,9,23,1,2,21,1.15,5,85,31
18,4,1,0,110,78,32,20,13,7,22,1,2,22,1.15,5,80,32
19,4,1,0,110,92,18,20,12,8,25,1,7,19,1.15,7,98,28
20,4,1,0,110,75,35,20,16,4,23,1,13,17,1.15,14,75,23
21,4,1,0,110,69,41,20,16,4,26,1,6,16,1.15,8,71,25
22,4,1,0,110,66,44,20,14,6,24,1,6,17,1.15,8,69,18
23,4,1,0,110,63,47,20,13,7,18,2,3,15,1.15,6,66,18
0,5,1,1,110,79,31,20,13,7,16,2,4,19,1.15,5,82,26
1,5,1,1,110,77,33,20,12,8,18,2,4,17,1.15,5,71,22
2,5,1,1,110,74,36,20,16,4,18,2,3,18,1.15,6,75,26
3,5,1,1,110,74,36,20,15,5,20,2,8,18,1.15,9,78,27
4,5,1,1,110,78,32,20,13,7,18,2,7,16,1.15,7,78,22
5,5,1,1,110,69,41,20,17,3,18,2,6,15,1.15,6,72,25
6,5,1,1,110,72,38,20,12,8,15,2,3,15,1.15,3,72,25
7,5,1,1,110,79,31,20,12,8,34,0,8,17,1.15,10,85,29
8,5,1,1,110,82,28,20,12,8,31,0,4,20,1.15,8,88,40
9,5,1,1,110,97,13,20,14,6,36,0,6,20,1.15,9,100,40
10,5,1,1,110,86,24,20,13,7,33,0,10,25,1.15,13,92,45
11,5,1,1,110,93,17,20,13,7,33,0,8,23,1.15,11,96,45
12,5,1,1,110,71,39,20,12,8,34,0,3,20,1.15,4,74,32
13,5,1,1,110,77,33,20,13,7,33,0,5,21,1.15,7,80,28
14,5,1,1,110,80,30,20,14,6,36,0,6,15,1.15,9,80,23
15,5,1,1,110,71,39,20,15,5,22,1,5,21,1.15,7,73,26
16,5,1,1,110,81,29,20,13,7,21,1,8,16,1.15,9,86,23
17,5,1,1,110,85,25,20,14,6,24,1,10,22,1.15,11,95,31
18,5,1,1,110,79,31,20,13,7,23,1,10,24,1.15,14,87,30
19,5,1,1,110,84,26,20,12,8,21,1,9,18,1.15,9,90,36
20,5,1,1,110,78,32,20,16,4,21,1,3,18,1.15,4,79,26
21,5,1,1,110,71,39,20,13,7,23,1,4,17,1.15,4,74,20
22,5,1,1,110,78,32,20,14,6,26,1,4,15,1.15,6,79,22
23,5,1,1,110,67,43,20,12,8,16,2,6,17,1.15,8,68,18
0,6,1,1,110,72,38,20,12,8,18,2,7,18,1.15,8,74,18
1,6,1,1,110,67,43,20,11,9,19,2,5,19,1.15,7,71,19
2,6,1,1,110,70,40,20,14,6,17,2,6,17,1.15,9,74,23
3,6,1,1,110,76,34,20,10,10,18,2,6,16,1.15,8,77,22
4,6,1,1,110,61,49,20,13,7,17,2,7,18,1.15,10,64,18
5,6,1,1,110,66,44,20,13,7,17,2,6,16,1.15,9,69,20
6,6,1,1,110,67,43,20,11,9,18,2,4,16,1.15,5,67,19
7,6,1,1,110,74,36,20,12,8,32,0,3,21,1.15,5,74,27
8,6,1,1,110,85,25,20,15,5,32,0,7,22,1.15,10,87,36
9,6,1,1,110,96,14,20,12,8,35,0,9,22,1.15,11,101,39
10,6,1,1,110,98,12,20,12,8,37,0,15,22,1.15,18,103,45
11,6,1,1,110,90,20,20,14,6,37,0,5,20,1.15,6,101,43
12,6,1,1,110,96,14,20,12,8,32,0,5,19,1.15,7,100,32
13,6,1,1,110,82,28,20,14,6,34,0,8,17,1.15,9,82,27
14,6,1,1,110,76,34,20,12,8,35,0,5,18,1.15,7,80,26
15,6,1,1,110,81,29,20,11,9,25,1,4,21,1.15,10,86,22
16,6,1,1,110,75,35,20,12,8,21,1,7,17,1.15,11,75,34
17,6,1,1,110,83,27,20,18,2,22,1,6,21,1.15,7,89,34
18,6,1,1,110,86,24,20,11,9,23,1,6,20,1.15,7,87,32
19,6,1,1,110,80,30,20,12,8,27,1,10,22,1.15,11,79,37
20,6,1,1,110,81,29,20,12,8,24,1,13,20,1.15,16,85,38
21,6,1,1,110,69,41,20,14,6,22,1,7,15,1.15,8,74,25
22,6,1,1,110,78,32,20,12,8,26,1,7,16,1.15,8,79,20
23,6,1,1,110,74,36,20,14,6,16,2,4,15,1.15,6,74,21
0,0,1,0,110,73,37,20,14,6,16,2,4,15,1.15,7,76,18
1,0,1,0,110,70,40,20,13,7,19,2,4,19,1.15,8,70,18
2,0,1,0,110,81,29,20,16,4,16,2,0,19,1.15,1,85,22
3,0,1,0,110,77,33,20,15,5,18,2,2,20,1.15,3,80,18
4,0,1,0,110,73,37,20,12,8,18,2,4,20,1.15,5,76,24
5,0,1,0,110,74,36,20,16,4,17,2,7,21,1.15,9,77,20
6,0,1,0,110,71,39,20,13,7,19,2,3,20,1.15,3,72,22
7,0,1,0,110,75,35,20,16,4,32,0,4,16,1.15,7,82,20
8,0,1,0,110,76,34,20,14,6,36,0,8,23,1.15,11,82,34
9,0,1,0,110,83,27,20,13,7,37,0,7,27,1.15,7,89,34
10,0,1,0,110,89,21,20,11,9,36,0,6,23,1.15,11,94,37
11,0,1,0,110,81,29,20,13,7,33,0,9,23,1.15,12,85,36
12,0,1,0,110,77,33,20,14,6,33,0,6,21,1.15,7,83,37
13,0,1,0,110,74,36,20,14,6,35,0,5,18,1.15,6,75,24
14,0,1,0,110,74,36,20,12,8,33,0,2,15,1.15,5,73,20
15,0,1,0,110,77,33,20,12,8,26,1,6,18,1.15,8,79,22
16,0,1,0,110,77,33,20,14,6,26,1,9,16,1.15,12,81,22
17,0,1,0,110,77,33,20,13,7,25,1,2,21,1.15,2,79,26
18,0,1,0,110,76,34,20,13,7,25,1,7,22,1.15,9,83,31
19,0,1,0,110,77,33,20,13,7,23,1,7,22,1.15,11,82,31
20,0,1,0,110,75,35,20,13,7,25,1,10,20,1.15,10,76,23
21,0,1,0,110,75,35,20,17,3,25,1,5,19,1.15,6,81,22
22,0,1,0,110,57,53,20,15,5,24,1,6,12,1.15,7,60,20
23,0,1,0,110,66,44,20,11,9,18,2,6,18,1.15,10,63,18
0,1,1,0,110,69,41,20,12,8,18,2,8,16,1.15,8,71,18
1,1,1,0,110,69,41,20,16,4,17,2,5,15,1.15,7,75,21
